"FID"	"phen"	"x"	"y"	"n_eggs_max"	"pldens_3"	"phen_n3"
3729	5	1499931.27	-23.89287506	0	19.190760612	3.32640332640333
3730	4	1499931.225	-24.05374204	0	18.9229938119	3.34873949579832
3731	3	1499931.784	-22.45142217	0	18.3457307994	3.03892944038929
3732	2	1499931.718	-22.30113854	0	18.379520354	3.03800475059382
3733	4	1499931.638	-22.30537188	0	18.3582385209	3.03051643192488
3734	4	1499931.67	-22.40062207	0	18.4850300598	3.02341920374707
3735	3	1499931.67	-22.40062207	0	18.4850300598	3.02576112412178
3736	5	1499931.574	-22.31807191	0	18.2400093929	3.02784222737819
3737	4	1499931.498	-22.32865526	0	18.3328534673	3.02272727272727
3738	4	1499931.498	-22.32865526	0	18.3328534673	3.02272727272727
3739	3	1499931.494	-22.3328886	0	18.3172942314	3.025
3740	1	1499931.42	-22.33712194	0	18.544562179	3.05752212389381
3741	4	1499931.42	-22.33712194	0	18.544562179	3.05088495575221
3742	2	1499931.422	-22.39215539	0	19.0036418058	3.05844155844156
3743	1	1499931.424	-22.3985054	0	19.0114269792	3.06493506493507
3744	2	1499931.621	-22.74140609	0	18.5909407856	3.08294930875576
3745	5	1499931.373	-23.1478069	0	19.152967706	3.11464968152866
3746	2	1499931.373	-23.1478069	0	19.152967706	3.12101910828025
3747	6	1499931.071	-22.98693991	0	18.9492533687	3.0734693877551
3748	4	1499931.064	-23.09065678	0	18.7376783807	3.08230452674897
3749	5	1499931.075	-24.15322558	0	18.6915088766	3.36897274633124
3750	3	1499931.223	-24.49400959	0	18.5203400295	3.40811965811966
3751	5	1499931.223	-24.49400959	0	18.5203400295	3.40384615384615
3752	1	1499931.219	-24.69721	0	18.9022690146	3.42283298097252
3753	5	1499931.219	-24.69721	0	18.9022690146	3.41437632135307
3754	2	1499930.912	-24.54692636	0	18.0179980479	3.38364779874214
3755	3	1499930.912	-24.54692636	0	18.0179980479	3.38155136268344
3756	1	1499930.912	-24.54692636	0	18.0179980479	3.38574423480084
3757	5	1499930.912	-24.54692636	0	18.0179980479	3.37735849056604
3758	4	1499930.912	-24.54692636	0	18.0179980479	3.37945492662474
3759	3	1499930.908	-24.54269302	0	18.0074065285	3.38155136268344
3760	6	1499930.821	-24.54904303	0	17.6515084804	3.39316239316239
3761	6	1499930.622	-24.58290977	0	16.7043256597	3.40481400437637
3762	6	1499930.622	-24.58290977	0	16.7043256597	3.40481400437637
3763	6	1499930.372	-24.64429322	0	15.6957780815	3.40454545454545
3764	2	1499931.126	-25.20944436	0	19.1941496592	3.55172413793103
3765	1	1499931.126	-25.20944436	0	19.1941496592	3.55375253549696
3766	1	1499931.033	-24.99989394	0	18.53095047	3.52742616033755
3767	2	1499931.033	-24.99989394	0	18.53095047	3.5253164556962
3768	4	1499931.033	-24.99989394	0	18.53095047	3.5210970464135
3769	4	1499930.969	-24.99989394	0	18.0136568735	3.51797040169133
3770	3	1499930.965	-25.23696108	0	18.5342283361	3.5482546201232
3771	2	1499930.867	-24.99777727	0	17.6093833998	3.5247311827957
3772	4	1499930.867	-24.99777727	0	17.6093833998	3.52043010752688
3773	3	1499930.867	-24.99777727	0	17.6093833998	3.52258064516129
3774	2	1499930.637	-24.89406039	0	17.0214164032	3.45610278372591
3775	3	1499930.472	-24.84114362	0	16.3736839417	3.47874720357942
3776	2	1499930.472	-24.84114362	0	16.3736839417	3.48098434004474
3777	2	1499930.472	-24.84114362	0	16.3736839417	3.48098434004474
3778	1	1499930.472	-24.84114362	0	16.3736839417	3.48322147651007
3779	6	1499930.472	-24.84114362	0	16.3736839417	3.47203579418345
3780	2	1499930.472	-24.84114362	0	16.3736839417	3.48098434004474
3781	1	1499930.472	-24.84114362	0	16.3736839417	3.48322147651007
3782	1	1499930.472	-24.84114362	0	16.3736839417	3.48322147651007
3783	2	1499930.47	-24.98296057	0	15.9042960324	3.48526077097506
3784	4	1499932.999	-25.39211046	0	26.9150706457	3.63829787234043
3785	6	1499932.999	-25.39211046	0	26.9150706457	3.63356973995272
3786	6	1499932.999	-25.39211046	0	26.9150706457	3.63356973995272
3787	6	1499932.999	-25.39211046	0	26.9150706457	3.63356973995272
3788	4	1499932.974	-25.54451077	0	27.7714509093	3.64414414414414
3789	4	1499932.974	-25.54239409	0	27.7750474164	3.64414414414414
3790	3	1499932.923	-25.58896085	0	28.3711602704	3.63498920086393
3791	4	1499932.316	-25.40481049	0	25.0180836577	3.62729124236253
3792	5	1499932.316	-25.40481049	0	25.0180836577	3.62525458248472
3793	3	1499932.362	-25.64611097	0	26.0786241053	3.65079365079365
3794	4	1499932.32	-25.40481049	0	25.0487046956	3.62729124236253
3795	2	1499933.114	-25.65034431	0	29.3001307586	3.67037861915367
3796	5	1499933.114	-25.65034431	0	29.3001307586	3.66369710467706
3797	5	1499933.114	-25.65034431	0	29.3001307586	3.66369710467706
3798	4	1499933.114	-25.65034431	0	29.3001307586	3.66592427616927
3799	6	1499933.16	-25.76676121	0	30.3887493264	3.67386609071274
3800	4	1499933.16	-25.76676121	0	30.3887493264	3.67818574514039
3801	3	1499933.154	-25.82814467	0	30.2563635315	3.68387096774194
3802	1	1499933.056	-25.81756131	0	29.6623221071	3.70212765957447
3803	2	1499933.215	-26.03981176	0	31.9570235285	3.73553719008264
3804	4	1499933.215	-26.03981176	0	31.9570235285	3.73140495867769
3805	1	1499933.215	-26.03981176	0	31.9570235285	3.73760330578512
3806	4	1499933.139	-26.19221206	0	32.5625582349	3.6969111969112
3807	3	1499933.067	-26.04827844	0	30.1620721033	3.68098159509202
3808	6	1499933.067	-26.04827844	0	30.1620721033	3.67484662576687
3809	3	1499933.067	-26.04827844	0	30.1620721033	3.68098159509202
3810	5	1499933.067	-26.04827844	0	30.1620721033	3.67689161554192
3811	5	1499933.067	-26.04827844	0	30.1620721033	3.67689161554192
3812	3	1499933.067	-26.04827844	0	30.1620721033	3.68098159509202
3813	2	1499933.014	-25.993245	0	30.0175054203	3.67209775967413
3814	4	1499933.014	-25.993245	0	30.0175054203	3.66802443991853
3815	5	1499933.016	-26.09272853	0	30.6847593326	3.65354330708661
3816	4	1499933.016	-26.09272853	0	30.6847593326	3.65551181102362
3817	2	1499933.016	-26.09272853	0	30.6847593326	3.65944881889764
3818	4	1499932.972	-25.95302825	0	29.9179055717	3.66053169734151
3819	5	1499932.972	-25.95302825	0	29.9179055717	3.65848670756646
3820	4	1499932.864	-26.06944515	0	30.4656438424	3.6280834914611
3821	4	1499932.864	-26.06944515	0	30.4656438424	3.6280834914611
3822	5	1499932.864	-26.06944515	0	30.4656438424	3.62618595825427
3823	4	1499932.864	-26.06944515	0	30.4656438424	3.6280834914611
3824	5	1499932.864	-26.06944515	0	30.4656438424	3.62618595825427
3825	4	1499932.86	-26.06944515	0	30.4273477032	3.6280834914611
3826	5	1499932.762	-25.8112113	0	28.466063954	3.65252525252525
3827	4	1499932.762	-25.8112113	0	28.466063954	3.65454545454545
3828	1	1499932.805	-26.03134507	0	30.2681765442	3.62900188323917
3829	2	1499932.671	-25.91069483	0	29.2210205393	3.65340909090909
3830	3	1499932.671	-25.91069483	0	29.2210205393	3.65151515151515
3831	4	1499932.671	-25.91069483	0	29.2210205393	3.64962121212121
3832	5	1499932.686	-26.10119521	0	30.2333923173	3.60326086956522
3833	4	1499932.707	-26.2472455	0	30.245638054	3.59279279279279
3834	4	1499932.707	-26.2472455	0	30.245638054	3.59279279279279
3835	4	1499932.703	-26.24512883	0	30.3800526631	3.59279279279279
3836	4	1499932.707	-26.24512883	0	30.2514349285	3.59279279279279
3837	4	1499932.707	-26.24512883	0	30.2514349285	3.59279279279279
3838	3	1499932.707	-26.24512883	0	30.2514349285	3.59459459459459
3839	6	1499932.347	-25.96572827	0	27.4515038194	3.59040590405904
3840	4	1499932.349	-25.96996162	0	27.4605187946	3.60258780036969
